Time,acc[0],speed[0],acc_iir
0,-0.004785156,0,0
12000,-0.014355469,0,-0.001175603
23000,-0.05263672,0,-0.005300378
35000,0,0,-0.019154459
46000,0,0,-0.022674471
57000,0,0,-0.011533277
68000,0.014355469,0,-0.005866354
80000,-0.014355469,0,0.000542912
91000,0,0,0.00027615
103000,0.004785156,0,-0.003386347
114000,0.004785156,0,-0.000546848
125000,-0.009570313,0,0.002073054
136000,-0.009570313,0,-0.000121153
148000,-0.009570313,0,-0.004764036
160000,0,0,-0.00712562
172000,0.019140625,0,-0.005975623
183000,0,0,0.001662936
194000,0.033496093,0,0.005548258
206000,0.004785156,0,0.01105132
217000,0,0,0.015026033
228000,-0.004785156,0,0.008818533
240000,-0.009570313,0,0.003309908
251000,0,0,-0.001843238
262000,0.066992186,0,-0.003288762
273000,0,0,0.014785627
284000,-0.019140625,0,0.023979091
295000,-0.009570313,0,0.007494454
307000,0,0,-0.003241595
318000,0,0,-0.00400003
329000,0.004785156,0,-0.002034599
341000,0.004785156,0,0.000140713
352000,-0.009570313,0,0.002422779
363000,0,0,5.67E-05
374000,0.009570313,0,-0.002322349
385000,-0.014355469,0,0.001169953
397000,0.009570313,0,-0.000580511
408000,0,0,-0.001470878
419000,-0.004785156,0,0.00160305
430000,-0.009570313,0,-0.000360218
442000,-0.009570313,0,-0.003710033
454000,0.014355469,0,-0.006589505
466000,0.019140625,0,-0.002176122
478000,0.014355469,0,0.007122346
489000,0,0,0.011851974
500000,-0.009570313,0,0.009555267
511000,0.014355469,0,0.002509041
522000,-0.014355469,0,0.002451817
533000,0,0,0.001247107
544000,0,0,-0.002892474
555000,0,0,-0.001471245
566000,0,0,-0.000748343
577000,-0.009570313,0,-0.000380641
589000,-0.004785156,0,-0.002544818
600000,0.009570313,0,-0.00482122
612000,0.004785156,0,-0.001276691
623000,-0.009570313,0,0.002877426
634000,0.009570313,0,0.000287988
645000,0,0,0.000146484
656000,-0.004785156,0,0.002425715
667000,0.009570313,0,5.82E-05
678000,-0.019140625,0,0.00120522
689000,-0.019140625,0,-0.001738176
701000,0,0,-0.010288941
712000,-0.014355469,0,-0.00993584
724000,0.004785156,0,-0.008580634
736000,0.009570313,0,-0.00671571
747000,0.019140625,0,0.000110891
758000,0.014355469,0,0.007110022
770000,0.014355469,0,0.011845705
781000,0.023925781,0,0.013078888
792000,-0.023925781,0,0.016057348
804000,-0.004785156,0,0.008167504
815000,0.004785156,0,-0.002899251
826000,0.004785156,0,-0.001474692
838000,-0.009570313,0,0.00160111
849000,-0.004785156,0,-0.000361205
860000,0.009570313,0,-0.003710535
872000,0.009570313,0,-0.000711745
883000,0.019140625,0,0.004340386
895000,0.023925781,0,0.009261338
906000,0.004785156,0,0.015291169
918000,0,0,0.014831409
930000,0,0,0.008719539
942000,0,0,0.004435158
953000,-0.014355469,0,0.002255925
965000,-0.019140625,0,-0.002379342
977000,-0.004785156,0,-0.009439464
988000,0.009570313,0,-0.01067936
999000,0.014355469,0,-0.00425641
1010000,0.004785156,0,0.00371301
1021000,0,0,0.00659102
1032000,0.009570313,0,0.004528098
1043000,0,0,0.004654405
1055000,0,0,0.00471865
1066000,0,0,0.002400122
1077000,-0.004785156,0,0.001220812
1088000,0.009570313,0,-0.000554642
1100000,0.004785156,0,0.000893487
1112000,0.009570313,0,0.003981278
1123000,0.009570313,0,0.00555187
1135000,0.009570313,0,0.007526348
1147000,0.004785156,0,0.008530658
1159000,0.009570313,0,0.007865894
1170000,0.004785156,0,0.007527764
1182000,-0.004785156,0,0.007355776
1196000,0,0,0.003741485
1207000,-0.014355469,0,0.000727488
1218000,0.004785156,0,-0.003156776
1229000,0.014355469,0,-0.003956887
1241000,-0.004785156,0,0.002689758
1252000,-0.004785156,0,0.003719341
1264000,-0.004785156,0,-0.000459379
1275000,-0.004785156,0,-0.002584867
1287000,-0.004785156,0,-0.003665988
1298000,-0.004785156,0,-0.004215896
1309000,-0.004785156,0,-0.004495604
1321000,-0.004785156,0,-0.004637877
1333000,-0.004785156,0,-0.004710243
1345000,0,0,-0.004747052
1357000,0,0,-0.003590172
1369000,0,0,-0.001826126
1381000,0,0,-0.000928852
1392000,0,0,-0.000472457
1403000,0,0,-0.000240313
1414000,0,0,-0.000122234
1425000,0,0,-6.22E-05
1436000,0,0,-3.16E-05
1449000,0,0,-1.61E-05
1460000,0,0,-8.18E-06
1471000,0,0,-4.16E-06
1482000,0,0,-2.12E-06
1494000,0,0,-1.08E-06
1505000,0,0,-5.48E-07
1517000,0,0,-2.79E-07
1528000,0,0,-1.42E-07
1539000,0,0,-7.21E-08
1550000,0,0,-3.67E-08
1562000,0,0,-1.86E-08
1573000,0,0,-9.48E-09
1585000,0,0,-4.82E-09
1597000,0,0,-2.45E-09
1609000,0,0,-1.25E-09
1621000,0,0,-6.35E-10
1633000,0,0,-3.23E-10
1646000,0,0,-1.64E-10
1657000,0,0,-8.35E-11
1669000,0,0,-4.25E-11
1681000,0,0,-2.16E-11
1693000,0,0,-1.10E-11
1705000,0,0,-5.59E-12
1717000,0,0,-2.84E-12
1729000,0,0,-1.45E-12
1741000,0,0,-7.36E-13
1753000,0,0,-3.74E-13
1766000,0,0,-1.90E-13
1778000,0,0,-9.68E-14
1790000,0,0,-4.93E-14
1801000,0,0,-2.51E-14
1813000,0,0,-1.27E-14
1825000,0,0,-6.48E-15
1837000,0,0,-3.30E-15
1848000,0,0,-1.68E-15
1860000,0,0,-8.53E-16
1871000,0,0,-4.34E-16
1882000,0,0,-2.21E-16
1893000,0,0,-1.12E-16
1904000,0,0,-5.71E-17
1916000,0,0,-2.90E-17
1927000,0,0,-1.48E-17
1939000,0,0,-7.51E-18
1950000,0,0,-3.82E-18
1961000,0,0,-1.94E-18
1974000,0,0,-9.89E-19
1985000,0,0,-5.03E-19
1998000,0,0,-2.56E-19
2010000,0,0,-1.30E-19
2022000,0,0,-6.62E-20
2033000,0,0,-3.37E-20
2044000,0,0,-1.71E-20
2055000,0,0,-8.71E-21
2066000,0,0,-4.43E-21
2078000,0,0,-2.25E-21
2089000,0,0,-1.15E-21
2101000,0,0,-5.83E-22
2112000,0,0,-2.97E-22
2123000,0,0,-1.51E-22
2134000,0,0,-7.67E-23
2145000,0,0,-3.90E-23
2157000,0,0,-1.99E-23
2168000,0,0,-1.01E-23
2180000,0,0,-5.14E-24
2193000,0,0,-2.61E-24
2205000,0,0,-1.33E-24
2217000,0,0,-6.76E-25
2229000,0,0,-3.44E-25
2241000,0,0,-1.75E-25
2253000,0,0,-8.89E-26
2264000,0,0,-4.52E-26
2276000,0,0,-2.30E-26
2288000,0,0,-1.17E-26
2299000,0,0,-5.95E-27
2310000,0,0,-3.03E-27
2321000,0,0,-1.54E-27
2332000,0,0,-7.83E-28
2344000,0,0,-3.99E-28
2355000,0,0,-2.03E-28
2366000,0,0,-1.03E-28
2377000,0,0,-5.24E-29
2388000,0,0,-2.67E-29
2400000,0,0,-1.36E-29
2413000,0,0,-6.90E-30
2424000,0,0,-3.51E-30
2435000,0,0,-1.79E-30
2447000,0,0,-9.08E-31
2458000,0,0,-4.62E-31
2470000,0,0,-2.35E-31
2481000,0,0,-1.20E-31
2492000,0,0,-6.08E-32
2503000,0,0,-3.09E-32
2514000,0,0,-1.57E-32
2525000,0,0,-8.00E-33
2537000,0,0,-4.07E-33
2548000,0,0,-2.07E-33
2559000,0,0,-1.05E-33
2570000,0,0,-5.35E-34
2581000,0,0,-2.72E-34
2592000,0,0,-1.39E-34
2604000,0,0,-7.05E-35
2615000,0,0,-3.58E-35
2626000,0,0,-1.82E-35
2637000,0,0,-9.27E-36
2649000,0,0,-4.72E-36
2660000,0,0,-2.40E-36
2671000,0,0,-1.22E-36
2682000,0,0,-6.21E-37
2693000,0,0,-3.16E-37
2704000,0,0,-1.61E-37
2715000,0,0,-8.17E-38
2726000,0,0,-4.15E-38
2738000,0,0,-2.11E-38
2749000,0,0,-1.07E-38
2760000,0,0,-5.47E-39
2771000,0,0,-2.78E-39
2782000,0,0,-1.41E-39
2793000,0,0,-7.20E-40
2804000,0,0,-3.66E-40
2815000,0,0,-1.86E-40
2826000,0,0,-9.47E-41
2838000,0,0,-4.82E-41
2849000,0,0,-2.45E-41
2861000,0,0,-1.25E-41
2873000,0,0,-6.34E-42
2884000,0,0,-3.22E-42
2896000,0,0,-1.64E-42
2907000,0,0,-8.34E-43
2918000,0,0,-4.24E-43
2929000,0,0,-2.16E-43
2941000,0,0,-1.10E-43
2953000,0,0,-5.58E-44
2964000,0,0,-2.84E-44
2976000,0,0,-1.44E-44
2987000,0,0,-7.35E-45
2998000,0,0,-3.74E-45
